# CloudWubi 规则库（cloudwubi-rules）
# 来源：①Rime 官方五笔86码表（LGPL-3.0, https://github.com/rime/rime-wubi）单字部分
#      ②初期手工整理的一级简码/键名/高频字（已并入）
# 格式：编码 汉字[ 汉字...]（重码合并，按使用频率降序）
# 更新：2026-09-12 由 Rime 0.7 版提取，约 13.7 万条词条中单字部分
g 一
f 地
d 在
s 要
a 工
h 上
j 是
k 中
l 国
m 同
t 和
r 的
e 有
w 人
q 我
y 主
u 产
i 不
o 为
p 这
n 民
b 了
v 发
c 以
x 经
gggg 王
ffff 土
dddd 大
ssss 木
aaaa 工
hhhh 目
jjjj 日
kkkk 口
llll 田
mmmm 山
tttt 禾
rrrr 白
eeee 月
wwww 人
qqqq 金
yyyy 言
uuuu 立
iiii 水
oooo 火
pppp 之
nnnn 已
bbbb 子
vvvv 女
cccc 又
xxxx 纟
wqiy 你
wq 你
vbg 好
vb 好
anv 世
an 世
lwjj 界
lwj 界
wun 们
wu 们
gdi 天
gd 天
ghi 下
gh 下
ipbf 学
ipb 学
nud 习
nu 习
ihty 小
ih 小
tgd 生
tg 生
rhfk 年
rhf 年 看
ftjb 都
ftj 都 者
wfcu 会
wfc 会
etnh 用
et 用
nyi 心 尺
ny 心
shnu 想
shn 想
khk 中
lgyi 国
peu 家
pe 家
tkg 和
guhk 平
gu 平
pvf 安
pv 安
wgf 全
wg 全
usr 新
us 新 亲
hjg 旧
hj 旧
gak 开
ga 开
ntcy 发
naei 展
nae 展
jfy 时
jf 时
ujd 间
uj 间
wthf 作
wt 作
nav 民
na 民
awu 共
aw 共
aii 东
ai 东
sghg 西
sg 西 本
fmuf 南
fmu 南
uxn 北
ux 北
hhgg 上
daf 左
da 左
dkf 右
dk 右
uejj 前
ue 前
rgkd 后
rg 后
mwi 内
mw 内
qhy 外 钋
qh 外
qqu 多 爻
qq 多
itr 少
it 少
ymkf 高
ym 高
wqay 低
wqa 低
tayi 长
ta 长 升
tdgu 短
tdg 短
fhwu 真
fhw 真
wnhc 假
wnh 假
fgii 坏
fgi 坏
nnwy 快
nnw 快
njlc 慢
njl 慢
jhnh 早
jh 早
jqkq 晚 冕
jqk 晚
wynb 今
wyn 今 仿
fbn 地
itxu 海
itx 海
bfmh 陆
bfm 陆
pwaf 空
pwa 空
rnb 气
rn 气 所
fcu 云 去 支
fc 云 支
umdj 端
umd 端
ovty 数
ov 数 娄
rndg 据
rnd 据
thaj 算
tha 算
ifcy 法
ifc 法
xyna 编
xyn 编 纺
dcg 码
dc 码 友
txiu 系
txi 系
xycq 统
xyc 统
admy 项
adm 项
tpnn 管
tpn 管
gjfg 理
gj 理
mqqi 网
mqq 网
xtkg 络
xtk 络
lqwy 软
lqw 软
wrhh 件
wrh 件
dgjq 硬
dgj 硬
tdkj 智
tdk 智 知
cexx 能
cex 能
wbjh 创
wbj 创
ogd 业
og 业
rmcy 投
rmc 投
uqwm 资
uqw 资 次
gkmj 融
gkm 融
emcy 股
emc 股
scy 权
sc 权
ymhj 市
ymh 市 讪
fnrt 场
fnr 场 声
apkk 营
apk 营
qieg 销
qie 销
kkkf 品
kkk 品
thgf 牌
thg 牌 片
ptkf 客
ptk 客
yn 户 记
ebcy 服
ebc 服
tlb 务
tl 务
lfte 团
lft 团
bwy 队
bw 队
tjh 利
tj 利 得
iugg 润
iug 润 泣
fulj 增
ful 增
whf 企
wh 企 个
fii 未
fi 未 示
goi 来 灭
go 来
ute 产
ckf 台
ck 台
dyiu 态
dyi 态 太 丈
ggiy 环
ggi 环
fujq 境
fuj 境
idri 源
idr 源
caqy 驱
caq 驱
fcln 动 劫
fcl 动
umwk 商
umw 商
sajd 模
saj 模
gajf 型
gaj 型 弄
adwf 基 斟
adw 基 期 其
dbmh 础
dbm 础
ymcy 设
ymc 设
ytbn 施
ytb 施
ghty 政
ght 政
tgmi 策
tgm 策
aqi 区
aq 区
fakg 域
fak 域 哉
qyvm 贸
qyv 贸
jqrr 易
jqr 易
tak 升
xeyy 级
xe 级
wgkf 合
wgk 合 命
woy 伙
wo 伙
wufh 伴
wuf 伴
hkat 战
hka 战
ltkg 略 辂
ltk 略
fwmq 规
fwm 规
aibb 范
aib 范
sfiy 标 瓢
sfi 标
uwyg 准
uwy 准
pvsu 案
pvs 案
wgqj 例
wgq 例
wdnn 优
wdn 优
wxn 化
wx 化
xwyg 维
xwy 维
rynt 护
ryn 护
wksy 保
wks 保
bujh 障
buj 障
ifwj 潜
ifw 潜
ltn 力
lt 力
rfcy 技
rfc 技
syi 术
sy 术
dnnt 成
dn 成
jsi 果
js 果
yygn 方
yy 方 广
uqty 效
uqt 效
yxif 率
yxi 率
wfhg 值
wfh 值 什
tjgf 得 笪
tjg 得
gcfj 到
gcf 到 至
dbdm 顾
dbd 顾
ukd 问
uk 问 部
ywet 诊
ywe 诊
onrh 断
onr 断
tjtu 复
tjt 复
rmhj 制 帛
rmh 制 帛
tfkp 造
tfk 造 靠 千
rjgh 提
rj 提
wgkb 命
mfkd 周
mfk 周
adwe 期
xfkg 结
xfk 结
sqkg 构 枸
sqk 构 枸
ymfk 调
ymf 调
dga 研
dg 研 厂 三
pwvb 究
pwv 究
smn 机
sm 机
kkdk 器 嚣
kkd 器
ftbt 教
ftb 教 孝
ycef 育
yce 育
fukg 培
fuk 培
ykh 训
yk 训
atdi 医
atd 医
ubk 疗 疖
ub 疗 闻
wvfp 健
wvf 健
yvii 康
yvi 康
mftt 财
mft 财
pgkl 富
pgk 富
rvy 势 执
rv 势 扫
qlpy 链
qlp 链
tsu 条
ts 条
wawy 供
waw 供
yidg 应 鹫
yid 应
wykf 售
wyk 售
pg 定
wwjh 价
wwj 价
stkg 格
stk 格
pbf 字
pb 字
yfh 计 讦
yf 计
skd 可
sk 可
tfkd 靠
tfhh 行
tf 行
jyiu 景
jyi 景
budy 联
bud 联
jelg 盟
jel 盟
flwy 协
flw 协
yyqy 议
yyq 议
ybf 享
yb 享 离
yt 放
vfhp 建
vfh 建 奸
qytb 孵
qyt 孵 卵
lkg 加
lk 加
gkif 速
gki 速 束
dgt 厂
tukq 税
tuk 税
pudu 实
pud 实
xcag 经 弪
iyjh 济 浏
iyj 济
lfny 转
lfn 转
fhqv 趋
fhq 趋 赵
ajtl 蓝
ajt 蓝
rdg 拓
rd 拓
mgae 赋
mga 赋
ldi 因
ld 因
ipws 深
ipw 深
fklh 圳
fkl 圳
yygt 广
iyox 湾
iyo 湾
pfjm 赛
pfj 赛 寒
wrg 伯
wr 伯
qi 乐
wysu 集
wys 集
nckg 怡
nck 怡
gogd 亚
gog 亚
cepk 通
cep 通
dpi 达
dp 达
rpwa 控
rpw 控
def 有
bvey 限
bve 限
wcu 公
wc 公
ngkd 司
ngk 司
atgf 董
atg 董
gkvh 事
gkv 事
pygl 福
pyg 福
aa 式
ab 节
ac 芭
ad 基
ae 菜
af 革
ag 七
ah 牙
aj 划
ak 或
al 功
am 贡
ao 蒌
ap 芝
ar 匠
as 苛
at 攻
au 燕
av 切
ax 药
ay 芳
ba 陈
bb 子
bc 取
bd 承
be 阴
bf 际
bg 卫
bh 耻
bi 孙
bj 阳
bk 职
bl 阵
bm 出
bn 也
bo 耿
bp 辽
bq 隐
br 孤
bs 阿
bt 降
bu 联
bv 限
bx 陛
by 防
ca 戏
cb 邓
cc 双
cd 参
ce 能
cf 对
cg 骊
cj 骒
cl 劝
cm 观
cn 马
cp 驼
cq 允
cr 牟
cs 骠
ct 矣
cu 骈
cv 艰
cw 难
cy 驻
db 顾
dd 大
de 胡
df 夺
dh 丰
di 砂
dj 百
dl 历
dm 面
do 灰
dq 克
dr 原
ds 厅
dt 帮
du 磁
dv 肆
dw 春
dx 龙
dy 太
ea 肛
eb 服
ec 肥
ed 须
ee 朋
ef 肝
eg 且
eh 鼐
ei 膛
ej 胆
ek 肿
el 肋
em 肌
en 甩
eo 膦
ep 爱
eq 胸
er 遥
es 采
eu 胶
ev 妥
ew 脸
ex 脂
ey 及
fa 载
fb 地
fd 城
fe 圾
ff 寺
fg 二
fh 直
fj 进
fk 吉
fl 协
fm 南
fn 志
fo 赤
fp 过
fq 无
fr 垢
fs 霜
ft 才
fu 增
fv 雪
fw 夫
fx 坳
fy 坟
gb 屯
gc 到
ge 表
gf 于
gg 五
gi 不
gk 事
gl 画
gm 现
gn 与
gq 列
gr 珠
gs 末
gt 玫
