uxyi 北京
uyym 北京市
lpaq 辖区
ylaq 市辖区
afaq 东城区
aifd 东城
sfaq 西城区
sgfd 西城
fbaq 朝阳区
fjbj 朝阳
dcaq 丰台区
dhck 丰台
djma 石景山区
djmm 石景山
iiaq 海淀区
itip 海淀
uuia 门头沟区
uuiq 门头沟
ymaq 房山区
ynmm 房山
cyaq 通州区
ceyt 通州
kyaq 顺义区
kdyq 顺义
jgaq 昌平区
jjgu 昌平
diaq 大兴区
ddiw 大兴
ncaq 怀柔区
ngcb 怀柔
gwaq 平谷区
guww 平谷
pfaq 密云区
pnfc 密云
tyaq 延庆区
thyd 延庆
gdiv 天津
giym 天津市
tgaq 和平区
tkgu 和平
iaaq 河东区
isai 河东
isaq 河西区
issg 河西
fgaq 南开区
fmga 南开
iuaq 河北区
isux 河北
xsaq 红桥区
xast 红桥
agaq 东丽区
aigm 东丽
sgaq 西青区
sgge 西青
ifaq 津南区
ivfm 津南
udaq 北辰区
uxdf 北辰
giaq 武清区
gaig 武清
pfaq 宝坻区
pgfq 宝坻
iiua 滨海新区
iius 滨海新
piaq 宁河区
psis 宁河
giaq 静海区
geit 静海
ayaq 蓟州区
aqyt 蓟州
iuit 河北省
dpyf 石家庄
dpyy 石家庄市
tpaq 长安区
tapv 长安
ssaq 桥西区
stsg 桥西
uwaq 新华区
uswx 新华
fbda 井陉矿区
fbdy 井陉矿
pwaq 裕华区
puwx 裕华
afaq 藁城区
ayfd 藁城
yraq 鹿泉区
ynri 鹿泉
yfaq 栾城区
yofd 栾城
fbeg 井陉县
fjbc 井陉
gpeg 正定县
ghpg 正定
tyeg 行唐县
tfyv 行唐
vdeg 灵寿县
vodt 灵寿
ykeg 高邑县
ymkc 高邑
iieg 深泽县
ipic 深泽
treg 赞皇县
tfrg 赞皇
fseg 无极县
fqse 无极
gmeg 平山县
gumm 平山
fqeg 元氏县
fqqa 元氏
fheg 赵县
dpya 石家庄高新技术产业开发区
dpyn 石家庄高新技术产业开发
dpya 石家庄循环化工园区
dpyl 石家庄循环化工园
uwym 辛集市
uywy 辛集
gyym 晋州市
goyt 晋州
uqym 新乐市
usqi 新乐
yvmm 唐山
ymym 唐山市
kfaq 路南区
khfm 路南
kuaq 路北区
khux 路北
duaq 古冶区
dguc 古冶
ggaq 开平区
gagu 开平
dfaq 丰南区
dhfm 丰南
diaq 丰润区
dhiu 丰润
gvqa 曹妃甸区
gvql 曹妃甸
ifeg 滦南县
iyfm 滦南
qyeg 乐亭县
qiyp 乐亭
tseg 迁西县
tfsg 迁西
gleg 玉田县
gyll 玉田
iuya 河北唐山芦台经济开发区
iuyn 河北唐山芦台经济开发
ymya 唐山市汉沽管理区
ymig 唐山汉沽管理
ymya 唐山高新技术产业开发区
ymyn 唐山高新技术产业开发
iuya 河北唐山海港经济开发区
iuyn 河北唐山海港经济开发
uwym 遵化市
uswx 遵化
tpym 迁安市
tfpv 迁安
iyym 滦州市
iyyt 滦州
drqy 秦皇岛
drqy 秦皇岛市
iiaq 海港区
itia 海港
miua 山海关区
miud 山海关
ufia 北戴河区
ufis 北戴河
rpaq 抚宁区
rfps 抚宁
gdie 青龙满族自治县
gdii 青龙满族自治
jteg 昌黎县
jjtq 昌黎
hdeg 卢龙县
hndx 卢龙
drqa 秦皇岛市经济技术开发区
drqn 秦皇岛经济技术开发
ufia 北戴河新区
ufiu 北戴河新
afuj 邯郸
auym 邯郸市
amaq 邯山区
afmm 邯山
wcaq 丛台区
wwck 丛台
tiaq 复兴区
tjiw 复兴
mmda 峰峰矿区
mmdy 峰峰矿
exaq 肥乡区
ecxt 肥乡
yraq 永年区
ynrh 永年
jieg 临漳县
jtiu 临漳
dpeg 成安县
dnpv 成安
dqeg 大名县
ddqk 大名
iheg 涉县
dueg 磁县
rgeg 邱县
cieg 鸡泽县
cqic 鸡泽
ygeg 广平县
yygu 广平
qbeg 馆陶县
qnbq 馆陶
tveg 魏县
mmeg 曲周县
mamf 曲周
auxa 邯郸经济技术开发区
