# 十五五规划纲要词组库（2026-03-13 新华社，v0.7.16 全量）
aabt 医药卫生
aaip 工学
aatk 工种
aaws 医共体
aawt 工伤
abfb 节地
acnt 功能性
adaq 工矿区
adgy 基础理论
adit 基础学科
adrt 劳有所得
aehk 落脚点
afrs 劳动报酬
afty 劳动生产率
afuj 区域间
afwr 劳动保护
afww 区域合作
afwx 区域化
afyo 劳动就业
afyx 贡献率
agpt 落到实处
aikn 医学中心
aiov 东数
ajlf 划转
amtu 共同利益
amyf 共同市场
angs 基层政权
aodn 工业布局
aont 营业性
aqiu 黄金水道
aqyg 葡语
arwk 医护人员
aryj 药制剂
aslt 基本国策
aspl 基本农田
asui 艺术交流
asum 基本准则
asww 艺术创作
atby 医防
atet 攻用
atlp 区和边
atod 医类
attu 切身利益
atwk 医务人员
auww 医疗保健
awbw 工作队
awic 共治
awiy 共济
awmw 工作岗位
awnt 革命性
awrj 共担
awrm 工作制
axei 节约用水
axga 薄弱环节
axgq 药残
aytu 共享税
bclt 聚力
bdtf 随迁
bfcl 承载能力
bjcw 卫星通信
bout 职业道德
bowx 职业化
bpue 院前
bqfb 承包地
bqug 孤独症
btrk 降损
btyp 职称评定
bufc 联运
burp 联控
bvfy 子女教育
bwau 联合攻关
bwbw 除险
bxty 出疆入
byia 防涝
byiq 防逃
byrm 承诺制
cbud 预判
ccrp 双控
ccud 双减
cdly 马克思列宁主义
ceuq 能效
cewx 通用化
cgsc 参与权
cgya 参与度
ciff 能源需求
cigy 邓小平理论
ckwh 台企
clww 双边合作
cnwx 柔性化
ctgg 双循环
ctxr 预算编制
cwwx 通俗化
cyft 参训者
ddeg 大县
ddgf 三大球
ddvf 套娃
dfis 大运河
dfym 大城市
dgaq 三区
dgip 研学
dgtp 三管
dgud 研判
dhfh 三步走
dint 非法收入
diwx 石漠化
dkim 成品油
dkio 大中小企业
dkiy 大中小城市
dlgy 大思政课
dmia 碳汇
dmry 大幅提高
dmyy 面广
dnft 成才
dniq 万兆
dnlj 威慑力量
dnyg 布局调整
dpga 研究型
dqfd 确需
dqsc 确权
drgf 大气环境
dsqk 古树名
duja 成效显著
duui 矿产资源
duwo 龙头企业
dwdr 非公有制
dwww 三亿人
egft 助老
egxt 县乡
ehry 逐步提高
eiet 用海用
eijg 用水量
elxx 爱国统一战线
espu 采补
