tlae 粤菜
ktae 川菜
isae 湘菜
qgae 鲁菜
alae 苏菜
irae 浙菜
ujae 闽菜
tmae 徽菜
yiae 京菜
auae 东北菜
ooqk 火锅
yuin 麻辣烫
oaof 烧烤
oflq 烤鸭
itqn 小笼包
qnbb 饺子
dmts 面条
oyow 米粉
oyxg 米线
rudm 拉面
uyrd 兰州拉面
ieik 沙县小吃
aocq 黄焖鸡
mgqn 肉夹馍
uyhc 凉皮
uqjb 煎饼果子
enow 肠粉
jhaw 早茶
hkny 点心
yutq 麻辣香锅
saqg 酸菜鱼
ifqg 水煮鱼
pwcs 宫保鸡丁
yigy 麻婆豆腐
lqmw 回锅肉
qtmx 鱼香肉丝
osji 糖醋里脊
uyol 北京烤鸭
giqg 天津狗不理
tyid 重庆小面
jjow 螺蛳粉
ssoo 桂林米粉
fsox 过桥米线
iiqn 灌汤包
tuqn 生煎包
veaw 奶茶
klkd 咖啡
ssaw 柠檬茶
ggva 珍珠奶茶
ssaf 杨枝甘露
chve 双皮奶
uiis 冰淇淋
nhou 蛋糕
dmqn 面包
nhrd 蛋挞
agjs 苹果
tjaw 香蕉
swbb 橙子
sgrc 西瓜
aqaq 葡萄
ajat 草莓
smsi 樱桃
ayjs 芒果
sqal 榴莲
alsf 荔枝
ldbb 车厘子
ajat 蓝莓
qqsi 猕猴桃
odjs 火龙果
mmtt 山竹
aial 菠萝
smbb 柚子
sibb 桃子
tjbb 梨子
scbb 橘子
wxyl 华为
ihoy 小米
euyn 腾讯
bjcc 阿里巴巴
pakf 字节跳动
djya 百度
yiai 京东
uglf 美团
iuiu 滴滴
mqjq 网易
rqqq 拼多多
nnrt 快手
ruuj 抖音
kkkk 哔哩哔哩
edan 爱奇艺
wdsg 优酷
kkwf 唯品会
rwtk 携程
fkqt 去哪儿
mgtk 同程
pvkh 安踏
sbps 李宁
ijqd 鸿星尔克
trhi 特步
inwg 波司登
iipp 海澜之家
aaqt 七匹狼
aaqi 雅戈尔
sscn 森马
ugrq 美的
stlt 格力
itqi 海尔
itwy 海信
wbxw 创维
taja 长虹
yvwf 康佳
tdad 奥克斯
yydy 方太
fsjk 老板电器
aiqi 苏泊尔
vtbj 九阳
ihce 小熊
iopp 小米之家
ddxf 大疆
xgmp 比亚迪
ptjw 宁德时代
ango 蔚来
gjsh 理想
ihee 小鹏
fktj 吉利
tafd 长城
dsgm 奇瑞
tapv 长安
ggaf 五菱
ggir 一汽
hhir 上汽
yyir 广汽
uxir 北汽
pfmr 农夫山泉
vkkw 娃哈哈
yjwg 康师傅
xygg 统一
aprh 蒙牛
wvtj 伊利
iqje 光明
dgfq 三元
nupw 飞鹤
vqpg 君乐宝
acck 茅台
goiy 五粮液
iyfp 泸州老窖
iuis 洋河
wfdw 剑南春
iwis 汾酒
dfam 古井贡
yvis 郎酒
nuis 习酒
wftj 舍得
itgd 海天
sqyn 李锦记
dgdt 厨邦
ngkd 恒顺
tftt 千禾
ddqi 太太乐
gpyq 王守义
ffvc 老干妈
fdtj 十三香
ibsa 涪陵榨菜
klat 中国工商银行
klvt 中国建设银行
klpt 中国农业银行
klqt 中国银行
ucqt 交通银行
ruqt 招商银行
gpqt 平安银行
inqt 浦发银行
ioqt 兴业银行
kwqt 中信银行
kltf 中国移动
klbc 中国联通
kljw 中国电信
kldi 中国石油
kldw 中国石化
lpjm 国家电网
fyjm 南方电网
klqk 中国铁路
klmg 中国邮政
kowl 中粮集团
kdwx 中石化
kdim 中石油
klvt 中国建筑
klkq 中国中铁
klqv 中国铁建
kluv 中国交建
kljv 中国电建
klkl 中国中车
kltt 中国船舶
klgp 中国平安
klwd 中国人寿
klww 中国人保
kldw 中国太保
uwwb 新华保险
dywb 泰康保险
wdwb 华夏保险
biwb 阳光保险
wpwb 众安保险
klgb 中国再保险
auqt 工商银行
vyqt 建设银行
poqt 农业银行
mwqt 邮储银行
ntqt 民生银行
idqt 光大银行
wdqt 华夏银行
klyj 中国广电
khiw 中兴
otoo 烽火
ddyv 大唐
uogd 普天
hxiq 紫光
baxc 隆基绿能
cdew 通威股份
biji 阳光电源
wxqc 亿纬锂能
uqqo 赣锋锂业
gyqo 天齐锂业
wdqo 华友钴业
kwut 中创新航
klpw 中国神华
koci 中煤能源
udci 兖矿能源
bsoo 陕西煤业
mswo 山西焦煤
ipgc 潞安环能
iudo 淮北矿业
goew 平煤股份
molb 山煤国际
wbew 华阳股份
