# 长词补充库 v0.7.16（政治高频+俗语歇后语，长词优先）
dffd 有志者事竟成
dugm 百闻不如一见
fkdt 士别三日刮目相待
fugw 远亲不如近邻
gdxc 事非经过不知难
gfiq 一寸光阴一寸金
gggk 一带一路
ggig 天下兴亡匹夫有责
ggti 不到长城非好汉
glty 一回生二回熟
gmni 天网恢恢疏而不漏
jqmn 日久见人心
ketl 路遥知马力
klty 中国特色社会主义
kwni 中华民族伟大复兴
kyut 忠言逆耳利于行
lpig 国家兴亡匹夫有责
mtik 山重水复疑无路
ndwk 心有余而力不足
ngei 书到用时方恨少
nrgs 习近平新时代中国特色社会主义思想
pwrp 塞翁失马焉知非福
pwyc 社会主义核心价值观
pwyp 社会主义现代化国家
qfkw 金无足赤人无完人
rddy 打破砂锅问到底
sjas 柳暗花明又一村
tiri 长江后浪推前浪
tjpg 千里之行始于足下
tntg 知己知彼百战不殆
ttrp 竹篮打水一场空
uigh 前浪死在沙滩上
urtl 新质生产力
uudp 冰冻三尺非一日之寒
wdvw 全面建成小康社会
wfty 全过程人民民主
wltn 全国各族人民
woww 人类命运共同体
xigm 绿水青山就是金山银山
yaau 良药苦口利于病
yrjn 高质量发展
