bxrf 降维打击
ihis 水上漂
fugk 超音速
euvn 胖妞
aidd 东大
aypl 东方神秘大国
iyiy 湾湾
ewcq 脚盆鸡
ddtf 大毛
fgtf 二毛
qfjm 金元帅
bsdg 阿三
dgsk 三哥
bsyv 阿朗
inbb 小以子
rapl 拖鞋军
ibnx 洲际导弹
yfug 高超音速
bths 隐身战机
btls 隐身轰炸机
fwsm 无人机
fwsv 无人机蜂群
texg 航母
site 核潜艇
hlst 战略核潜艇
nxct 导弹驱逐舰
rbte 护卫舰
vite 巡洋舰
gsat 两栖攻击舰
tpxt 航空母舰
amnx 东风导弹
ttot 长征火箭
ffot 运载火箭
wtbj 人造卫星
uunt 北斗导航
puuh 空间站
gdpk 天宫
reat 探月工程
ojri 火星探测
vivt 嫦娥
pygk 祝融
gduk 天问
gdhv 天眼
iiri 深海探测
jdkg 蛟龙号
gfsm 歼击机
husm 战斗机
losm 轰炸机
casm 预警机
lism 加油机
flsm 运输机
wpsm 侦察机
gufs 武装直升机
fjdq 坦克
ullg 装甲车
otoq 火箭炮
ttoo 自行火炮
nxlg 导弹车
fldp 雷达
srbl 相控阵
jbhk 电子战
jbcr 电子对抗
mxhk 网络战
wthk 信息战
odrn 精确制导
iigk 激光武器
jdoq 电磁炮
ptck 定向能武器
tigk 微波武器
rntx 反导系统
bptx 防空系统
nxbt 导弹防御
hkaq 战区
hldn 战略威慑
sdnb 核威慑
dwgw 三位一体
ifdn 常规威慑
lpby 边防
itby 海防
pwby 空防
hlfr 战略支援
bwwh 联合作战
qfwh 多域作战
fxgi 地缘政治
dlfy 大国博弈
trhk 科技战
qjhk 贸易战
qghk 金融战
wyhk 舆论战
ythk 认知战
wyql 供应链
uoql 产业链
hebb 卡脖子
tysr 自主可控
lufw 国产替代
fotu 专精特新
qqul 独角兽
bgpp 隐形冠军
opxi 数字经济
tcrt 智能制造
watc 人工智能
dsga 大模型
jbyt 量子计算
jbcw 量子通信
anth 芯片
iysm 光刻机
unws 半导体
wdjk 集成电路
ucid 新能源
dktk 碳中和
ddmt 碳达峰
iqwd 光伏
wyce 储能
qjib 锂电池
ucil 新能源汽车
tflc 自动驾驶
wpxi 低空经济
uotg 商业航天
bjgm 卫星互联网
skww 机器人
wgsw 人形机器人
aosw 工业机器人
skqt 机器狗
esrk 脑机接口
tttr 生物科技
alxl 基因编辑
wdtt 合成生物
iitr 深海科技
tptg 航空航天
tpns 航空发动机
orls 燃气轮机
dnsm 大飞机
ymqr 高铁
deie 磁悬浮
fxys 超级计算机
orkn 数据中心
