gggg 一一
gsgy 一丁不识
gshk 一丁点
ggdn 一万
gdrq 一万年太久
gdrq 一万年太久只争朝夕
ggdy 一丈
gggh 一下
ggww 一不做二不休
ggdg 一不压众百不随一
ggin 一不小心
ggrw 一不扭众
ggqp 一不留神
gfqc 一专多能
ggan 一世
gapd 一世之雄
gadu 一世龙门
grgh 一丘一壑
grpe 一丘之貉
ggxx 一丝
gxgy 一丝一毫
gxgr 一丝不挂
gxgy 一丝不紊
gxga 一丝不苟
gxgr 一丝两气
ggwh 一个
gwah 一个世纪才盘点
gway 一个世纪才盘点百年大计
gwwh 一个个
gwwc 一个人唱台戏
gwwq 一个人唱台戏独角
gwwu 一个人拜把子朋友结为异姓兄弟
gwwm 一个人拜把子朋友结为异姓兄弟你算老几
gwuw 一个半个
gwug 一个半斤一个八两
gwkh 一个吹笛一个按眼
gwkg 一个吹笛一个按眼两不顶一
gwvi 一个媳妇几个婆
gwvr 一个媳妇几个婆不知听谁的
gwuw 一个将军一个令
gwur 一个将军一个令不知听谁的
gwci 一个巴掌
gwck 一个巴掌拍不响
gwyw 一个方凳坐两人
gwyu 一个方凳坐两人亲密无间
gwee 一个月
gwid 一个染缸里的布
gwiw 一个染缸里的布一色货
gwsu 一个样
gwsr 一个桩上拴两头牛
gwsp 一个桩上拴两头牛迟早要闯祸
gwsr 一个模子出来的
gwij 一个洞里的蛇
gwix 一个洞里的蛇早有勾结
gwud 一个病房的病友
gwun 一个病房的病友同病相怜
gwdf 一个碟子摔九块
gwdg 一个碟子摔九块四分五裂
gwpw 一个窝里的王八
gwpb 一个窝里的王八龟子龟孙
gwpb 一个窝里的蝎子
gwpx 一个窝里的蝎子早有勾结
gwaf 一个萝卜一个坑
gwaw 一个萝卜一个坑一个顶一个
gwqq 一个锅里吃饭
gwqh 一个锅里吃饭彼此彼此
gwbp 一个院里住两家
gwby 一个院里住两家谁也知道谁
gwcw 一个马鞍上的人
gwct 一个马鞍上的人同奔前程
ggkh 一中
ggkk 一串
gkcg 一串骊珠
ggiw 一举
gigf 一举一动
gidj 一举万里
gidr 一举三反
gigw 一举两全
gigt 一举两得
gidq 一举成名
gira 一举手之劳
gpya 一之为甚
gpna 一之已甚
gpya 一之谓甚
gvwl 一九八四
gtif 一乱涂地
gbdb 一了百了
gbdi 一了百当
gqyg 一争高下
gggt 一事不知
ggfd 一事无成
ggfg 一二
gfdg 一二三
gggf 一五一十
gghx 一些
ghuh 一些半些
ggyl 一亩
gwgk 一人一把号
gwgy 一人一把号各畋各的调
gwph 一人之下万人之上
gwpu 一人之交
gwwp 一人传虚万人传实
gwtq 一人向隅满坐不乐
gwur 一人善射百夫决拾
gwtg 一人得道鸡犬升天
gwtd 一人敌
gwdy 一人有庆
gwnd 一人飞升仙及鸡犬
ggwj 一介
gwgb 一介不取
gwpu 一介之善
gwpf 一介之士
gwpf 一介之才
gwnt 一介书生
gwhx 一仍旧贯
ggwa 一代
gwgw 一代不如一代
gwwa 一代代
gwpa 一代宗臣
gwyp 一代文宗
gwss 一代楷模
gwyp 一代谈宗
gwmi 一代风流
gwha 一代鼎臣
gnif 一以当十
gnid 一以当百
gnxp 一以贯之
ggwr 一件
gwwr 一件件
ggww 一份
ggwo 一伙
ggwf 一会
gwqt 一会儿
gwwv 一会念叨娃一会想起妈
gwwu 一会念叨娃一会想起妈心挂两头
gwfg 一传十
gwfd 一传十十传百
ggwu 一位
ggws 一体
gwmn 一体同心
gwba 一佛出世
gwbg 一佛出世二佛升天
gwbt 一佛出世二佛涅盘
gwbg 一佛出世二佛生天
ggwg 一例
ggwm 一侧
ggwu 一倍
gwgt 一倡一和
gwdt 一倡百和
gwpm 一偏之见
gwpy 一偏之论
gwwk 一傅众咻
gftv 一元复始
gfdg 一元大武
ggdq 一克
ggwt 一八
ggaw 一共
gghw 一具
ggmm 一册
gggm 一再
gueq 一决胜负
guhd 一决雌雄
ggbm 一出
ggfm 一击
ggvn 一刀
gvgo 一刀两断
gvgw 一刀两段
gvav 一刀切
gvxh 一刀纸糊在鼻子上
gvxh 一刀纸糊在鼻子上好厚的脸皮厚脸皮
ggwv 一分
gwgy 一分一毫
gwyf 一分为二
gwda 一分耕耘一分收获
gwqq 一分钱开当铺
gwqg 一分钱开当铺周转不开
gwqr 一分钱掰
gwqa 一分钱掰用手把东西分开或折断两瓣花
gwqr 一分钱攥
gwqg 一分钱攥出汗来
ggav 一切
gadt 一切万物
gawt 一切众生
garh 一切反动派都是纸老虎
gggq 一列
ggmj 一则
gmgf 一则一二则二
gmnn 一则以喜一则以惧
ggkl 一别
gqvf 一刹那
ggyn 一刻
gugr 一前一后
ggwg 一剑
gwpw 一剑之任
ggde 一副碗筷两人用
ggdh 一副碗筷两人用不分彼此
glbi 一力承当
glgf 一加一等于二
glgb 一加一等于二没错错不了
gfgf 一动不动
gfgg 一动不如一静
gaqq 一劳久逸
gayq 一劳永逸
gavw 一匡九合
gagg 一匡天下
ggaq 一匹
gfwq 一十八层地狱
gfwk 一十八般兵器
gfwa 一十八般武艺
gguf 一半
gagf 一卧不起
gdnd 一厢情原
gdnd 一厢情愿
gfgl 一去不回
ggcc 一双
gcgv 一双两好
grau 一反其道
grid 一反常态
grvt 一反既往
gntq 一发千钧
gndr 一发破的
ggyo 一变
gkdt 一口三舌
gkgj 一口两匙
gkkr 一口吃下扁担
gkkn 一口吃下扁担横了心
gkka 一口吃下热红薯
gkkk 一口吃下热红薯难吞难咽
gkkm 一口吃个旋风
gkkr 一口吃个旋风好大的口气
gkkr 一口吃个牛排
gkko 一口吃个牛排贪多嚼不烂
gkku 一口吃了九个馒头
gkkd 一口吃了九个馒头贪欲太大
gkkb 一口吃条绳子
gkkx 一口吃条绳子有内线
gkmu 一口同音
gkgs 一口吞根擀面杖
gkgb 一口吞根擀面杖直性人直性子
gkki 一口吸尽西江水
gkka 一口咬了黄瓜蒂
gkka 一口咬了黄瓜蒂苦
gkkp 一口咬定
gkkb 一口咬断铁钉子
gkkd 一口咬断铁钉子嘴上功夫全凭嘴劲好硬的嘴嘴硬
gksw 一口棺材睡两人
gksu 一口棺材睡两人死对头
gkrn 一口气
ggqk 一句
gqqk 一句句
gqyt 一句话
ggkw 一只
gkkw 一只只
gkkk 一只喇叭一把号
gkky 一只喇叭一把号各吹各的调
gkrt 一只手吹笛
