gggg 一一
ggdn 一万
ggdy 一丈
gggh 一下
ggan 一世
ggxx 一丝
ggwh 一个
ggkh 一中
ggkk 一串
ggiw 一举
ggfg 一二
gghx 一些
ggyl 一亩
ggwj 一介
ggwa 一代
ggwr 一件
ggww 一份
ggwo 一伙
ggwf 一会
ggwu 一位
ggws 一体
ggwg 一例
ggwm 一侧
ggwu 一倍
ggdq 一克
ggwt 一八
ggaw 一共
gghw 一具
ggmm 一册
gggm 一再
ggbm 一出
ggfm 一击
ggvn 一刀
ggwv 一分
ggav 一切
gggq 一列
ggmj 一则
ggkl 一别
ggyn 一刻
ggwg 一剑
ggaq 一匹
gguf 一半
ggcc 一双
ggyo 一变
ggqk 一句
ggkw 一只
ggck 一台
ggkg 一号
ggmg 一同
ggqk 一名
ggtm 一向
ggkq 一吹
ggkm 一员
ggmf 一周
ggkf 一味
ggkt 一响
gglk 一回
gglf 一团
gglu 一圈
ggfn 一场
ggip 一堂
ggfw 一堆
ggth 一处
ggyw 一夜
ggdd 一大
gggd 一天
ggud 一头
ggdd 一套
ggvk 一如
ggpb 一字
ggtb 一季
ggpg 一定
ggpj 一审
ggpe 一家
ggcf 一对
ggff 一封
ggih 一小
ggnf 一层
ggnm 一届
ggmq 一岁
ggym 一市
gggk 一带
ggdt 一帮
ggmh 一幅
ggaj 一幕
ggrh 一年
ggya 一度
ggyw 一座
ggaa 一式
ggxt 一张
ggtv 一律
ggny 一心
ggsh 一想
ggnl 一愣
gghk 一战
ggfa 一截
ggrn 一所
ggrt 一手
ggrs 一打
ggrx 一批
ggrc 一把
ggrv 一招
ggud 一拳
ggrp 一挥
ggrd 一排
ggfc 一支
ggov 一数
gggy 一斑
ggus 一新
ggyy 一方
ggup 一旁
ggfq 一无
ggjj 一日
ggjg 一旦
ggjh 一早
ggjf 一时
ggji 一晃
ggjq 一晚
ggma 一曲
ggee 一月
ggde 一有
ggsg 一本
ggms 一朵
ggts 一条
gggo 一来
ggsg 一杯
ggst 一枚
ggsf 一枝
ggsw 一枪
gglk 一架
ggsa 一栋
ggsr 一株
ggsu 一样
ggsv 一根
gghj 一桌
ggsi 一档
ggsy 一桩
ggsj 一棵
ggso 一楼
gguq 一次
ggff 一款
gghi 一步
ggwd 一段
ggir 一派
ggiy 一流
ggiq 一溜
ggic 一滩
ggiu 一滴
ggis 一潭
ggos 一灯
ggoq 一炮
gghk 一点
ggth 一片
ggur 一瓣
ggua 一瓶
ggtg 一生
ggto 一番
ggdj 一百
gggl 一盏
ggfh 一直
ggit 一省
gghv 一眼
gghf 一睹
gghe 一瞬
ggdp 一碗
ggda 一碟
ggtk 一种
ggtu 一科
ggti 一秒
ggpw 一窝
ggum 一端
ggtt 一笔
ggtf 一等
ggtp 一管
ggty 一篇
ggoy 一米
ggod 一类
ggou 一粒
ggxe 一级
ggxq 一纸
ggxg 一线
ggxc 一经
ggxy 一统
ggxo 一缕
ggrm 一罐
ggvt 一群
ggem 一股
ggef 一脚
ggew 一脸
ggep 一腔
gggc 一致
ggte 一般
ggte 一艘
ggtf 一行
ggge 一表
ggjt 一览
ggqe 一角
ggyg 一语
ggyu 一说
ggxf 一贯
ggfh 一趟
ggkh 一路
gglw 一轮
gglg 一辆
gglp 一边
ggce 一通
ggut 一道
gguk 一部
ggqv 一键
gguy 一门
gguj 一间
ggbw 一队
ggbl 一阵
ggbp 一院
ggbj 一隅
ggdm 一面
ggsd 一顶
ggad 一项
gggb 一顿
ggjs 一颗
gghq 一餐
ggut 一首
ggyj 一齐
sgnf 丁丑
sgdq 丁克
sgqt 丁卯
sgiv 丁当
sgnd 丁忧
sgfi 丁未
sgoq 丁烯
sggw 丁玲
sgyp 丁豪
aggg 七一
agwh 七个
agfg 七十
agfk 七喜
agqt 七夕
aggd 七天
agrh 七年
ages 七彩
agtv 七律
agng 七情
agrr 七折
agjt 七星
agee 七月
agpw 七窍
agxq 七绝
agqc 七色
dngg 万一
dndy 万丈
dngk 万事
dnwn 万亿
dnwa 万代
dnwt 万余
dnfq 万元
dntf 万千
dndl 万历
dnyo 万变
dndg 万古
dnkg 万吨
dnlg 万国
dnpb 万字
dnps 万宁
dnfu 万幸
dngo 万恶
dnde 万有
dnyn 万望
dnsm 万机
dnna 万民
dnid 万源
dntr 万物
dnud 万状
dnet 万用
dnpy 万福
dntk 万种
dntu 万科
dnum 万端
dntg 万籁
dnoy 万米
dnxw 万维
dnce 万能
dnte 万般
dnqj 万象
dnxf 万贯
dndp 万达
dnjf 万里
dnqq 万金
dnbt 万隆
dncw 万难
dnxd 万顷
dncn 万马
dyww 丈人
dyfw 丈夫
dyxg 丈母
dyjg 丈量
dgag 三七
dggm 三两
dgwh 三个
dgut 三产
dgwu 三位
dgfq 三元
dgpl 三军
dgwv 三分
dgmj 三则
dgqn 三包
dgfg 三十
dgkw 三只
dgsk 三哥
dglh 三四
dglf 三围
dglg 三国
dgdd 三大
dgvb 三好
dgtb 三季
dgny 三尺
dgnf 三层
dgmg 三峡
dgrh 三年
dgln 三思
dgjj 三日
dgje 三明
dgjt 三星
dggj 三更
dgee 三月
dgde 三有
dgfj 三朝
dguq 三次
dghi 三步
dgia 三江
dgiy 三流
dghk 三点
dggy 三班
dgdj 三百
dgtk 三种
dgtf 三等
dgod 三类
dgxe 三级
dgxg 三线
dgxw 三维
dgqc 三色
dgab 三节
dgaf 三菱
dgad 三藏
dgqe 三角
dglw 三轮
dgce 三通
dgbu 三陪
dgdm 三面
dghq 三餐
hhdn 上万
hhgh 上下
hhan 上世
hhwh 上个
hhiw 上举
hhtu 上乘
hhnn 上书
hhyi 上京
hhww 上人
