yuji 床前明月光
xjff 疑是地上霜
iuye 举头望明月
wulx 低头思故乡
rjwn 白日依山尽
aiti 黄河入海流
wpth 欲穷千里目
ghgs 更上一层楼
dhgj 春眠不觉晓
ttuq 处处闻啼鸟
ygmf 夜来风雨声
aati 花落知多少
wius 会当凌绝顶
gjwi 一览众山小
imdn 海内存知己
giaw 天涯若比邻
nifn 飞流直下三千尺
xjqg 疑是银河落九天
gmqw 两岸猿声啼不住
ltnm 轻舟已过万重山
gtte 天生我材必有用
tqag 千金散尽还复来
tmdj 长风破浪会有时
frfi 直挂云帆济沧海
dian 大江东去浪淘尽
wdwq 但愿人长久
tjav 千里共婵娟
jemd 明月几时有
riug 把酒问青天
mtik 山重水复疑无路
sjas 柳暗花明又一村
gyyh 不识庐山真面目
kxtk 只缘身在此山中
dggn 春蚕到死丝方尽
jodf 蜡炬成灰泪始干
axgt 落红不是无情物
wwda 化作春泥更护花
uvct 问君能有几多愁
nwgi 恰似一江春水向东流
qdnp 独在异乡为异客
ttwu 每逢佳节倍思亲
sain 桃花潭水深千尺
gein 不及汪伦送我情
iugl 少壮不努力
fdtd 老大徒伤悲
ytth 谁知盘中餐
ooxa 粒粒皆辛苦
joon 野火烧不尽
dmkt 春风吹又生
itwf 沉舟侧畔千帆过
usud 病树前头万木春
tggn 先天下之忧而忧
rggq 后天下之乐而乐
wttg 人生自古谁无死
qbmg 留取丹心照汗青
pwqb 宝剑锋从磨砺出
satg 梅花香自苦寒来
nmdt 书山有路勤为径
iift 学海无涯苦作舟
imwb 江山代有才人出
twmr 各领风骚数百年
bmiy 随风潜入夜
itxf 润物细无声
vfta 好雨知时节
idet 当春乃发生
uxrx 慈母手中线
ibty 游子身上衣
yyfn 谁言寸草心
rtdj 报得三春晖
wlwj 停车坐爱枫林晚
fkxa 霜叶红于二月花
fhpw 远上寒山石径斜
rftp 白云生处有人家
qvgg 忽如一夜春风来
tsdg 千树万树梨花开
bmfn 孤帆远影碧空尽
kmti 唯见长江天际流
gmgb 两岸青山相对出
bmgg 孤帆一片日边来
ftru 朝辞白帝彩云间
tjig 千里江陵一日还
jjto 日照香炉生紫烟
erik 遥看瀑布挂前川
aaus 葡萄美酒夜光杯
wqgw 欲饮琵琶马上催
sait 醉卧沙场君莫笑
dgtl 古来征战几人回
djju 秦时明月汉时关
djtg 万里长征人未还
wwdd 但使龙城飞将在
gfdm 不教胡马度阴山
aifu 黄河远上白云间
gtbm 一片孤城万仞山
