# 政府工作报告词组库（2026-03-05 新华社，v0.7.14：3字+全收；2字收高频/政策术语白名单）
acaq 功能区
acpw 功能定位
adfy 基础教育
adnt 基础性
adyy 基础设施
afgn 蓬勃开展
afpg 劳动密集型
ajii 草沙
alrq 世界反法西斯战争
alxe 世界级
anpo 巨灾
aowt 工业体系
aquj 区间
asuk 东西部
asyq 基本方针
atah 工程项目
atud 医养
atvy 工程建设
aubt 医疗卫生
auss 医疗机构
auwb 医疗保障
avat 基建工程
awwb 工伤保险
awyn 共赢
axma 苦练内功
bddf 承压
borc 职业技能
bpgk 联农带
brnt 限制性
bsbt 降本降
btdm 降碳
btog 出版业
btuw 降准
bwgo 除恶
bwnt 阶段性
ciit 台湾光复
cime 台湾同胞
cipw 能源安全
clqj 双边贸易
cquk 对外部
ctmw 预算内
cysf 驻村
cywk 骗保
dcpv 雄安
ddit 大省
dfpu 压实
dfud 压减
dgpe 三农
dgux 三北
dgwk 三保
dlfr 大力支持
dlnn 大力发展
dlrr 奋力拼搏
dlsh 在思想上
dmid 面源
dncm 大局观
dniw 成渝
dnww 万人
dpmt 达峰
drii 大气污染
dtrf 帮扶
dttw 有利条件
duhs 奋斗目标
dwfq 万亿元
dwnt 原创性
dwrt 万亿斤
dxiy 非经济
dxnt 牵引性
eggq 助残
eket 用足用
elbt 爱国卫生
elrn 爱国热情
etmx 服务网络
etrj 服务质量
etwt 服务体系
eysm 脑机
fauf 霸凌
fauq 专项资金
fbdj 无障碍
ffdd 二十大
ffhk 堵点
ffud 封关
ffyy 场地设施
fhip 走深
fhov 起数
fhpu 走实
fhrv 起势
fiad 过渡期
fiql 违法犯罪
fjbw 教师队伍
fksf 城中村
flgg 十四五
flwl 十国集团
fnaf 增收节支
fnog 专精
fqwx 城镇化
fqwy 城镇化率
frpp 地质灾害
fsnt 规模性
fsnt 颠覆性
fsuo 支柱产业
fswx 规模化
fsxa 规模经营
ftal 走向世界
fthk 增长点
ftjg 考量
ftvi 超乎寻常
ftya 二季度
fufn 增产增收
fuwd 培优
fwad 零基
fwdm 零碳
fwup 零售总额
fxnn 城乡居民
fxuk 城乡差别
fyfa 城市规划
fygu 城市更新
fynt 协调性
fyui 教育资源
fyvt 城市群
gayy 形式主义
gcwv 致贫
gdxx 亚太经合组织
geyk 青训
gfig 平均水平
gfrj 环境质量
gftk 政协委员
gftr 于物
gfwf 残运会
ggft 一老
ggnt 一致性
ghtf 下行
gigw 政治责任
giud 不减
giuq 正当竞争
gkit 整省
gmdf 再夺
gmgr 严峻形势
gmtf 再造
gmtg 两重
gmus 两新
gmut 两岸关系
gnaa 开发式
gnte 开发利用
gnvl 不懈努力
goig 不断涌现
goit 不断深入
gord 不断扩大
gouw 事业单位
gpqp 不容忽视
grii 碧水
gtci 再生能源
gtnt 一般性
gtnt 政策性
gtry 政策措施
gtui 再生资源
gwfa 整体规划
gwpo 现代农业
gwqg 一分钱
gxcm 政绩观
gxqk 互免
gyga 开放型
gygq 班列
gyuu 不良资产
harv 肯雅热
hfet 上云用
hhhk 卡点
hkpu 占补
hlul 战略部署
hlyq 战略方针
hwtm 具身
iaay 沙戈荒
icia 治港
icit 治澳
idug 小而美
idyl 湖库
ifaa 渐进式
ihwh 涉企
iimq 水网
iiwx 法治化
ijat 水电工程
ilwr 举国体制
imyg 党风廉政
inuq 深层次
ipgm 当家理财
iqwe 海外侨胞
itbf 省际
itfb 流入地
itfo 学科专业
itgn 深入开展
itlp 党和国家
iufy 学前教育
iwii 澳人治澳
iwlp 兴边
iwna 深化改革
iwwk 常住人口
ixyx 消费率
jfil 电动汽车
jjbb 紧日子
jjry 明显提高
jltx 电力系统
jotr 颗粒物
jpxw 紧密结合
jtjg 师德师
jwsu 最低标准
kaax 中医药
khfu 跨境
khpl 跨军
khru 中拉
khtf 践行
khya 中度
kkhh 品目
klaa 中国式
klwx 中国化
kmmg 中央财政
ktad 中长期
ktpd 顺利完成
kukk 中间品
kwyj 中华文明
kwyw 中华文化
laig 加工水平
lbfy 国防教育
lbnf 国际收支
lbtr 国防科技
lbxq 国际经贸
ldfd 因城
ldus 国有资本
ldwo 国有企业
lffb 黑土地
lfqj 边境贸易
lfrq 置换
lfsf 围村
lfth 黑臭
lfyt 因城施
lguq 国资
lipd 圆满完成
lkje 回暖
lktg 加征
lngh 思政
lntj 国民待遇
lpgk 办实事
lpsu 国家标准
lpys 国家主权
lwdn 办成
lwna 国企改革
lwuq 国债资金
lwyt 固体废物
